,Product Name,Price,Brand,Categories,Product Sold,Stock,Rating,5 Start,4 Start,3 Start,2 Start,1 Start,Total Rating,No of Comments,Image and Video,Parent Category
6145,[𝐅𝐮𝐥𝐥 𝐁𝐨𝐱+Ả𝐧𝐡 𝐓𝐡ậ𝐭] Dép 𝗠𝗟.𝗕 nữ nhiều màu sắc và kiểu dáng,119000.0,ROZALO,Giày Dép Nam/Xăng-đan và Dép/Dép Xỏ Ngón,8200,129439,0.0,0,0,0,0,0,2500,0,0,Giày Dép Nam
6146,"COM BÔ ✔️FUIL BOX BILL✔️Giày Sneaker Nam Nữ Trắng, Adidas Super Star mũi sò Giày Thể Thao adidas 𝑺𝒐̀ trắng xanh hồng",160500.0,Adidas,Giày Dép Nam/Giày Thể Thao/ Sneakers,7200,237307,4.6,569,60,44,19,26,718,413,320,Giày Dép Nam
6147,Dép Đi Trong Nhà trong nhà tắm Lock&Lock êm ái chống trơn trợt màu Beige ETM643 ETM644,99000.0,Lock&Lock,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,302,80,4.8,30,1,0,0,1,32,9,5,Giày Dép Nam
6148,(ảnh+video)dép giày quai hậu nữ 3 quai 1945 fiting,122000.0,Lock&Lock,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,60,591,4.9,18,1,0,0,0,19,12,8,Giày Dép Nam
6149,Giày MWC 2755 - Giày Sandal Nữ Quai Hậu Quai Da Dây Mảnh Đế Bệt Siêu Xinh,79000.0,MWC,Giày Dép Nam/Xăng-đan và Dép/Xăng-đan,1500,332,4.9,582,20,8,2,1,613,341,287,Giày Dép Nam
6150,Giày cao gót da mịn khuy CD gót thấp - 4P,127000.0,MWC,Giày Dép Nữ/Giày Cao Gót,174,15,4.9,72,2,3,0,0,77,57,47,Giày Dép Nữ
6151,"Giày nữ Oxford da mềm đẹp phong cách Anh, Hàn Quốc công sở, văn phòng đi làm đi học đi chơi xu hướng 2022 (HÀNG SẴN)",299000.0,MWC,Giày Dép Nữ/Giày Đế Bằng/Giày Oxford & Giày Buộc Dây,86,43,4.8,36,3,1,0,1,41,28,24,Giày Dép Nữ
6152,[Chính hãng] Giày Shondo F6 Sport ombre xanh parisian trắng F6S0339 - Màu Xanh,345000.0,shondo,Giày Dép Nam/Xăng-đan và Dép/Khác,310,3,4.9,129,3,0,2,2,136,65,46,Giày Dép Nam
6153,"Dép đi trong nhà Hình Gấu, dép đi văn Phòng, dép đi nhà tắm hàng xuất Nhật chống trơn trượt DN3",33500.0,Gấu,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,1400,2043,4.9,272,8,6,1,5,292,151,135,Giày Dép Nam
6154,Dép Bông FREESHIP Dép Đi Trong Nhà- Hình Heo Hình Lợn Ngộ Nghĩnh (Tuyển Sỉ),28000.0,Gấu,Giày Dép Nam/Xăng-đan và Dép/Dép Đi Trong Nhà,3600,4642,4.9,558,40,7,2,5,612,310,272,Giày Dép Nam
